Variable,Component,Question title,n,Mean,Standard deviation,Minimum ,Maximum,Maximum possible mark,Facility factor,Attempt %
C1_1ai,1,1a(i),"8,493",0.97,0.18,0,1,1,0.97,99.92%
C1_1aii,1,1a(ii),"8,493",2.72,0.50,0,3,3,0.91,99.92%
C1_1bi,1,1b(i),"8,471",0.97,0.17,0,1,1,0.97,99.66%
C1_1bii,1,1b(ii),"8,448",0.71,0.45,0,1,1,0.71,99.39%
C1_1biii,1,1b(iii),"8,436",0.98,0.77,0,2,2,0.49,99.25%
C1_1biv,1,1b(iv),"7,760",0.59,0.49,0,1,1,0.59,91.29%
C1_1ci,1,1c(i),"7,266",1.06,1.15,0,4,4,0.27,85.48%
C1_1cii,1,1c(ii),"8,294",2.56,1.36,0,6,6,0.43,97.58%
C1_1di,1,1d(i),"8,367",1.66,1.07,0,3,3,0.55,98.44%
C1_1dii,1,1d(ii),"8,173",1.13,0.80,0,2,2,0.57,96.15%
C1_1e,1,1e,"8,356",3.81,1.68,0,8,8,0.48,98.31%
C1_1eSPaG,1,1e SPaG,"8,394",2.73,0.75,0,4,4,0.68,98.75%
C1_2ai,1,2a(i),"8,458",2.86,1.26,0,4,4,0.71,99.51%
C1_2aii,1,2a(ii),"8,480",3.13,0.91,0,4,4,0.78,99.76%
C1_2bi,1,2b(i),"7,611",0.95,0.23,0,1,1,0.95,89.54%
C1_2bii,1,2b(ii),"8,050",1.51,0.79,0,2,2,0.75,94.71%
C1_2biii,1,2b(iii),"8,407",2.64,0.56,0,3,3,0.88,98.91%
C1_2biv,1,2b(iv),"7,880",1.24,0.92,0,2,2,0.62,92.71%
C1_2bv,1,2b(v),"7,777",0.72,0.87,0,2,2,0.36,91.49%
C1_2c,1,2c,"7,954",2.52,1.98,0,6,6,0.42,93.58%
C1_2d,1,2d,"8,111",3.50,1.51,0,8,8,0.44,95.42%
C1_3ai,1,3a(i),"8,444",2.91,1.14,0,4,4,0.73,99.34%
C1_3aii,1,3a(ii),"8,280",0.99,0.72,0,2,2,0.49,97.41%
C1_3aiii,1,3a(iii),"7,373",1.63,1.13,0,4,4,0.41,86.74%
C1_3bi,1,3b(i),"8,399",0.93,0.26,0,1,1,0.93,98.81%
C1_3bii,1,3b(ii),"8,319",1.60,1.17,0,4,4,0.40,97.87%
C1_3ci,1,3c(i),"8,220",2.31,0.89,0,3,3,0.77,96.71%
C1_3cii,1,3c(ii),"7,734",2.95,1.57,0,6,6,0.49,90.99%
C1_3d,1,3d,"8,067",3.54,1.55,0,8,8,0.44,94.91%
C2_Aa,2,A(a),"8,492",2.34,1.27,0,5,5,0.47,99.91%
C2_Ab,2,A(b),"8,430",1.76,1.18,0,4,4,0.44,99.18%
C2_Ac,2,A(c),"8,383",2.87,1.11,0,4,4,0.72,98.62%
C2_Adi,2,A(d)i,"8,473",3.32,1.01,0,4,4,0.83,99.68%
C2_Adii,2,A(d)ii,"8,272",1.46,0.91,0,3,3,0.49,97.32%
C2_Aei,2,A(e)i,"8,438",0.94,0.23,0,1,1,0.94,99.27%
C2_Aeii,2,A(e)ii,"8,135",2.01,0.99,0,3,3,0.67,95.71%
C2_Aeiii,2,Ae(iii),"8,316",0.80,0.85,0,4,4,0.20,97.84%
C2_Aeiv,2,A(e)iv,"8,266",0.57,0.67,0,2,2,0.28,97.25%
C2_Af,2,A(f),"8,380",1.50,0.79,0,3,3,0.50,98.59%
C2_Ag,2,A(g),"8,237",3.28,1.43,0,6,6,0.55,96.91%
C2_Bai,2,B(a)i,"8,436",0.91,0.29,0,1,1,0.91,99.25%
C2_Baii,2,B(a)ii,"8,294",0.79,0.56,0,2,2,0.39,97.58%
C2_Bb,2,B(b),"7,897",1.34,1.22,0,4,4,0.34,92.91%
C2_Bc,2,B(c),"8,315",1.14,0.74,0,2,2,0.57,97.82%
C2_Bd,2,B(d),"8,200",2.77,1.31,0,5,5,0.55,96.47%
C2_Be,2,B(e),"8,143",2.41,1.38,0,4,4,0.60,95.80%
C2_Bf,2,B(f),"8,050",1.28,0.96,0,3,3,0.43,94.71%
C2_C,2,C,"8,050",7.07,2.90,0,12,12,0.59,94.71%
C2_CSPaG,2,C SPaG,"8,234",3.05,0.93,0,4,4,0.76,96.87%
C3_1ai,3,1ai,"8,085",0.44,0.63,0,2,2,0.22,95.12%
C3_1aii,3,1aii,"8,066",1.80,0.48,0,2,2,0.90,94.89%
C3_1bi,3,1bi,"8,266",1.64,0.73,0,2,2,0.82,97.25%
C3_1bii,3,1bii,"7,937",0.77,0.74,0,2,2,0.38,93.38%
C3_1biii,3,1biii,"7,855",1.45,1.14,0,4,4,0.36,92.41%
C3_1c,3,1c,"7,700",1.71,1.57,0,6,6,0.28,90.59%
C3_2ai,3,2ai,"8,444",1.65,0.58,0,2,2,0.83,99.34%
C3_2aii,3,2aii,"8,245",1.31,0.97,0,4,4,0.33,97.00%
C3_2b,3,2b,"8,393",1.58,0.57,0,2,2,0.79,98.74%
C3_2ci,3,2ci,"8,368",0.79,0.41,0,1,1,0.79,98.45%
C3_2cii,3,2cii,"8,391",0.96,0.20,0,1,1,0.96,98.72%
C3_2ciii,3,2ciii,"8,317",1.50,0.95,0,4,4,0.38,97.85%
C3_2d,3,2d,"7,433",1.57,1.09,0,4,4,0.39,87.45%
C3_3ai,3,3ai,"8,400",2.46,0.70,0,3,3,0.82,98.82%
C3_3aii,3,3aii,"8,347",1.93,0.27,0,2,2,0.96,98.20%
C3_3aiii,3,3aiii,"8,218",2.87,1.09,0,4,4,0.72,96.68%
C3_3b,3,3b,"8,364",0.81,0.40,0,1,1,0.81,98.40%
C3_3ci,3,3ci,"6,712",1.76,0.55,0,2,2,0.88,78.96%
C3_3cii,3,3cii,"8,315",1.85,0.42,0,2,2,0.93,97.82%
C3_3di,3,3di,"8,058",0.28,0.45,0,1,1,0.28,94.80%
C3_3dii,3,3dii,"7,961",2.45,1.51,0,6,6,0.41,93.66%
C3_3e,3,3e,"8,181",0.99,0.81,0,3,3,0.33,96.25%
C3_3f,3,3f,"7,990",5.90,2.31,0,12,12,0.49,94.00%
C3_3fSPaG,3,3f SPaG,"8,148",3.00,0.88,0,4,4,0.75,95.86%